prompt,response
"List all entities of type Person, using a user context in http://context/user-context.jsonld","curl -X GET ""http://localhost:1026/ngsi-ld/v1/entities?type=Person"" -H 'Link: <http://context/user-context.jsonld>; rel=""http://www.w3.org/ns/json-ld#context""; type=""application/ld+json""'"
"Give me a command to retrieve Building entities using an alternate @context file (alternate-context.jsonld), which maps attribute names to their German equivalents, allowing queries to use alternative short names (e.g., type=Gebäude instead of type=Building).","curl -G -X GET 'http://localhost:1026/ngsi-ld/v1/entities/' -H 'Link: <http://context/alternate-context.jsonld>; rel=""http://www.w3.org/ns/json-ld#context""; type=""application/ld+json""' -H 'Accept: application/ld+json' -d 'type=Geb%C3%A4ude' -d 'q=name==""Big%20Red%20Barn""' -d 'options=keyValues'"
I need to fetch all Restaurant entities using the standard schema.org vocabulary context from https://schema.org/ so we can align with common web semantics.,"curl -X GET ""http://localhost:1026/ngsi-ld/v1/entities?type=Restaurant"" -H 'Link: <https://schema.org/>; rel=""http://www.w3.org/ns/json-ld#context""; type=""application/ld+json""' -H 'Accept: application/ld+json'"
Could you show me how to retrieve all Device entities using the official ETSI NGSI-LD core context defined at https://uri.etsi.org/ngsi-ld/v1/ngsi-ld-core-context.jsonld?,"curl -G -X GET 'http://localhost:1026/ngsi-ld/v1/entities/' -H 'Link: <https://uri.etsi.org/ngsi-ld/v1/ngsi-ld-core-context.jsonld>; rel=""http://www.w3.org/ns/json-ld#context""; type=""application/ld+json""' -d 'type=Device' -H 'Accept: application/ld+json'"
"Please provide a command to find all Vehicle entities using the FIWARE Smart Data Models context from https://smartdatamodels.org/context.jsonld, which standardizes IoT attributes across domains.","curl -X GET ""http://localhost:1026/ngsi-ld/v1/entities?type=Vehicle"" -H 'Link: <https://smartdatamodels.org/context.jsonld>; rel=""http://www.w3.org/ns/json-ld#context""; type=""application/ld+json""' -H 'Accept: application/ld+json'"
I'd like to query all AirQualityObserved entities using two contexts simultaneously: the FIWARE data models context (https://smartdatamodels.org/context.jsonld) and a specialized air quality vocabulary (http://example.org/airquality-context.jsonld).,"curl -G -X GET 'http://localhost:1026/ngsi-ld/v1/entities/' -H 'Link: <https://smartdatamodels.org/context.jsonld>; rel=""http://www.w3.org/ns/json-ld#context""; type=""application/ld+json"", <http://example.org/airquality-context.jsonld>; rel=""http://www.w3.org/ns/json-ld#context""; type=""application/ld+json""' -d 'type=AirQualityObserved' -H 'Accept: application/ld+json'"
How can I retrieve all IoT devices using the standardized W3C Web of Things Thing Description context available at https://www.w3.org/2019/wot/td/v1?,"curl -X GET ""http://localhost:1026/ngsi-ld/v1/entities?type=IoTDevice"" -H 'Link: <https://www.w3.org/2019/wot/td/v1>; rel=""http://www.w3.org/ns/json-ld#context""; type=""application/ld+json""' -H 'Accept: application/ld+json'"
I'm working with mobility data and need to query BikeHireDockingStation entities using the Mobility Data Specification context at https://w3id.org/mobility/v1/context.jsonld.,"curl -G -X GET 'http://localhost:1026/ngsi-ld/v1/entities/' -H 'Link: <https://w3id.org/mobility/v1/context.jsonld>; rel=""http://www.w3.org/ns/json-ld#context""; type=""application/ld+json""' -d 'type=BikeHireDockingStation' -d 'q=availableBikes>0' -H 'Accept: application/ld+json'"
Could you help me retrieve WeatherForecast entities using the JSON-LD person context from https://json-ld.org/contexts/person.jsonld just as an experiment to see how context mapping works with non-matching vocabularies?,"curl -G -X GET 'http://localhost:1026/ngsi-ld/v1/entities/' -H 'Link: <https://json-ld.org/contexts/person.jsonld>; rel=""http://www.w3.org/ns/json-ld#context""; type=""application/ld+json""' -d 'type=WeatherForecast' -d 'attrs=temperature,humidity,windSpeed' -H 'Accept: application/ld+json'"
"For a smart agriculture project, I need to query all AgriFarm entities using the DEMETER agricultural context from https://w3id.org/demeter/agri-context.jsonld to ensure semantic interoperability with other farming systems.","curl -X GET ""http://localhost:1026/ngsi-ld/v1/entities?type=AgriFarm"" -H 'Link: <https://w3id.org/demeter/agri-context.jsonld>; rel=""http://www.w3.org/ns/json-ld#context""; type=""application/ld+json""' -H 'Accept: application/ld+json'"
Retrieve all Building entities with the custom context definition at http://example.org/building-context.jsonld,curl -X GET http://localhost:1026/ngsi-ld/v1/entities?type=Building -H 'Link: <http://example.org/building-context.jsonld>; rel=http://www.w3.org/ns/json-ld#context; type=application/ld+json'
Show me all Vehicle entities using the vehicle context schema located at http://mobility.org/vehicle-context.jsonld,"curl -X GET http://localhost:1026/ngsi-ld/v1/entities?type=Vehicle&attrs=licensePlate,model,speed -H 'Link: <http://mobility.org/vehicle-context.jsonld>; rel=http://www.w3.org/ns/json-ld#context; type=application/ld+json'"
Find all Restaurant entities referencing the context definition in http://food.org/restaurant-context.jsonld,"curl -X GET 'http://localhost:1026/ngsi-ld/v1/entities?type=Restaurant&q=priceRange>=""medium""' -H 'Link: <http://food.org/restaurant-context.jsonld>; rel=http://www.w3.org/ns/json-ld#context; type=application/ld+json'"
Get a list of all AirQualityObserved entities using the environmental context at http://environment.org/air-context.jsonld,"curl -X GET 'http://localhost:1026/ngsi-ld/v1/entities?type=AirQualityObserved&attrs=CO,NO2,PM10&options=count' -H 'Link: <http://environment.org/air-context.jsonld>; rel=http://www.w3.org/ns/json-ld#context; type=application/ld+json'"
Please provide all WeatherObserved entities with the context defined in http://meteo.org/weather-context.jsonld,curl -X GET 'http://localhost:1026/ngsi-ld/v1/entities?type=WeatherObserved&q=temperature>15;humidity<80' -H 'Link: <http://meteo.org/weather-context.jsonld>; rel=http://www.w3.org/ns/json-ld#context; type=application/ld+json'
I need to access all OffStreetParking entities using the parking context at http://mobility.org/parking-context.jsonld,"curl -X GET 'http://localhost:1026/ngsi-ld/v1/entities?type=OffStreetParking&attrs=availableSpotNumber,totalSpotNumber&options=keyValues' -H 'Link: <http://mobility.org/parking-context.jsonld>; rel=http://www.w3.org/ns/json-ld#context; type=application/ld+json'"
Could you retrieve all WasteContainer entities with the waste management context in http://city.org/waste-context.jsonld,curl -X GET 'http://localhost:1026/ngsi-ld/v1/entities?type=WasteContainer&q=fillingLevel>75' -H 'Link: <http://city.org/waste-context.jsonld>; rel=http://www.w3.org/ns/json-ld#context; type=application/ld+json' -H 'Accept: application/json'
Query all Museum entities referring to the cultural context defined at http://tourism.org/cultural-context.jsonld,curl -X GET 'http://localhost:1026/ngsi-ld/v1/entities?type=Museum&limit=50&offset=0' -H 'Link: <http://tourism.org/cultural-context.jsonld>; rel=http://www.w3.org/ns/json-ld#context; type=application/ld+json' -H 'Accept: application/ld+json'
Fetch all Hospital entities using the healthcare context specified in http://health.org/hospital-context.jsonld,"curl -X GET 'http://localhost:1026/ngsi-ld/v1/entities?type=Hospital&attrs=capacity,occupancyLevel,emergencyStatus&georel=near;maxDistance==2000' -H 'Link: <http://health.org/hospital-context.jsonld>; rel=http://www.w3.org/ns/json-ld#context; type=application/ld+json'"
